row_key,id,book_title,author,publish_year,place_name,region,language,genres_csv,narrative_era,passage_or_summary
7725:wd-Q7638687-Q17,wd-Q7638687-Q17,Sun and Steel,Yukio Mishima,1968,Japan,East Asia,Japanese,,1968s,"Sun and Steel: Art, Action and Ritual Death  is an autobiographical essay by Yukio Mishima detailing his artistic relationship to his body. Meditating on his transformative experiences with bodybuilding and martial arts training, Mishima considers their impact on his creative practice and concludes that literature, in its ideal form, is inextricable from physical exertion."
8666:wd-Q11572216-Q1490,wd-Q11572216-Q1490,The Frolic of the Beasts,Yukio Mishima,1961,Tokyo,East Asia,Japanese,,1961s,"The Frolic of the Beasts  is a 1961 novel by Yukio Mishima. It is considered a minor work from Mishima's middle period. Drawing inspiration from Noh plays, specifically the 14th-century Motomezuka, the novel centers on a tragic love triangle depraved by adultery and violence. It is a short novel in length and has a nonlinear narrative structure. The novel was first serialised in thirteen parts in the weekly magazine Shukan Shincho between 12 June 1961 and 4 September 1961. It was published in hardcover format by Shinchosha on 30 September 1961. It was published in paperback by Shincho Bunko on 10 July 1966. The novel was translated into Italian by Lydia Origlia and published by Feltrinelli in September 1983. The novel was translated into English by Andrew Clare and published in paperback i"
9949:wd-Q2518946-Q34600,wd-Q2518946-Q34600,The Temple of the Golden Pavilion,Yukio Mishima,1956,Kyoto,East Asia,Japanese,,1956s,The Temple of the Golden Pavilion  is a novel by the Japanese author Yukio Mishima. It was published in 1956 and translated into English by Ivan Morris in 1959.
8745:wd-Q1218608-Q8733,wd-Q1218608-Q8733,The Good Earth,Pearl S. Buck,1931,Qing dynasty,East Asia,English,,1931s,"The Good Earth is a historical fiction novel by Pearl S. Buck published in 1931 that dramatizes family life in an early 20th-century Chinese village in Anhwei. It is the first book in her House of Earth trilogy, continued in Sons (1932) and A House Divided (1935). It was the best-selling novel in the United States in both 1931 and 1932, won the Pulitzer Prize for Fiction in 1932, and was influential in Buck's winning the Nobel Prize for Literature in 1938. Buck, who grew up in China as the daughter of American missionaries, wrote the book while living in China and drew on her first-hand observation of Chinese village life. The realistic and sympathetic depiction of the farmer Wang Lung and his wife O-Lan helped prepare Americans of the 1930s to consider Chinese as allies in the coming war"
8406:wd-Q543562-Q8686,wd-Q543562-Q8686,The Diamond Age,Neal Stephenson,1995,Shanghai,East Asia,English,,1995s,"The Diamond Age: Or, A Young Lady's Illustrated Primer is a science fiction novel by Neal Stephenson. It is to some extent a Bildungsroman or coming-of-age story, focused on a young girl named Nell, set in a future world in which nanotechnology affects all aspects of life. The novel deals with themes of education, social class, ethnicity, and the nature of artificial intelligence. The Diamond Age was first published in 1995 by Bantam Books, as a Bantam Spectra hardcover edition. In 1996, it won both the Hugo and Locus Awards, and was shortlisted for the Nebula and other awards."
4979:wd-Q107329314-Q423,wd-Q107329314-Q423,In Order to Live,Park Yeon-mi,2015,North Korea,East Asia,English,,2015s,"""'I am most grateful for two things: that I was born in North Korea, and that I escaped from North Korea.' Yeonmi Park was not dreaming of freedom when she escaped from North Korea. She didn't even know what it meant to be free. All she knew was that she was running for her life, that if she and her family stayed behind they would die--from starvation, or disease, or even execution. This book is the story of Park's struggle to survive in the darkest, most repressive country on earth; her harrowing escape through China's underworld of smugglers and human traffickers; and then her escape from China across the Gobi desert to Mongolia, with only the stars to guide her way, and from there to South Korea and at last to freedom; and finally her emergence as a leading human rights activist--all be"
5187:wd-Q579744-Q200707,wd-Q579744-Q200707,Kafka on the Shore,Haruki Murakami,2002,Takamatsu,East Asia,Japanese,,2002s,"Kafka on the Shore  is a 2002 novel by Japanese author Haruki Murakami. Its 2005 English translation was among ""The 10 Best Books of 2005"" from The New York Times and received the World Fantasy Award for 2006. The book tells the stories of the young Kafka Tamura, a bookish 15-year-old boy who runs away from his Oedipal curse, and Satoru Nakata, an old, disabled man with the uncanny ability to talk to cats. The book incorporates themes of music as a communicative conduit, metaphysics, dreams, fate, and the subconscious."
10513:wd-Q7853694-Q148,wd-Q7853694-Q148,Turandot,Bertolt Brecht,1967,People's Republic of China,East Asia,German,,1967s,"Turandot or the Whitewashers' Congress is an epic comedy by the German modernist playwright Bertolt Brecht. It was written during the summer of 1953 in Buckow and substantially revised in light of a brief period of rehearsals in 1954, though it was still incomplete at the time of Brecht's death in 1956 and did not receive its first production until several years later. It premièred on 5 February 1969 at the Zürich Schauspielhaus, in a production directed by Benno Besson and Horst Sagert, with music by Yehoshua Lakner."
4887:wd-Q35690-Q1207735,wd-Q35690-Q1207735,I Am a Cat,Natsume Sōseki,0,Tokyo City,East Asia,Japanese,,,"I Am a Cat  is a satirical novel written in 1905–1906 by Natsume Sōseki about Japanese society during the Meiji period (1868–1912), particularly the uneasy mix of Western culture and Japanese traditions."
10754:wd-Q131247017-Q29151,wd-Q131247017-Q29151,We Do Not Part,Han Kang,2021,Jeju Island,East Asia,Korean,,2021s,"We Do Not Part: A Novel is a 2021 novel by South Korean novelist Han Kang, published by Munhak. The novel follows a woman named Kyungha as she travels to Jeju Island on behalf of her friend, Inseon, and reflects upon the legacy of the Jeju massacre. Han considers the novel to form ""a pair"" with her previous work, Human Acts."
5795:wd-Q727408-Q48,wd-Q727408-Q48,Lord Jim,Joseph Conrad,1900,Asia,East Asia,English,,1900s,"This compact novel, completed in 1900, as with so many of the great novels of the time, is at its baseline a book of the sea. An English boy in a simple town has dreams bigger than the outdoors and embarks at an early age into the sailor's life. The waters he travels reward him with the ability to explore the human spirit, while Joseph Conrad launches the story into both an exercise of his technical prowess and a delicately crafted picture of a character who reaches the status of a literary hero."
3372:wd-Q96279497-Q35765,wd-Q96279497-Q35765,Compu,Satyajit Ray,0,Osaka,East Asia,Bengali,,,
9660:wd-Q2397134-Q38283,wd-Q2397134-Q38283,The Sailor Who Fell from Grace with the Sea,Yukio Mishima,1963,Yokohama,East Asia,Japanese,,1963s,"The Sailor Who Fell from Grace with the Sea is a novel written by Yukio Mishima, published in Japanese in 1963 and translated into English by John Nathan in 1965."
10111:wd-Q3825043-Q17,wd-Q3825043-Q17,The Voices of the Heroic Dead,Yukio Mishima,1966,Japan,East Asia,Japanese,,1966s,"""Voices of the Fallen Heroes""  is a 1966 short story by the Japanese author Yukio Mishima. The work depicts the spirits of young officers who were executed by firing squad in the February 26 Incident and the kamikaze pilots who died trying to become Kamikaze typhoon in the Pacific War, both of whom are angry and curse Emperor Shōwa's declaration of humanity."
7528:wd-Q1376060-Q11636518,wd-Q1376060-Q11636518,Snow Country,Yasunari Kawabata,1935,Echigo Yuzawa Onsen,East Asia,Japanese,,1935s,"Snow Country  is a novel by the Japanese author Yasunari Kawabata. The novel is considered a classic work of Japanese literature and was among the three novels the Nobel Committee cited in 1968, when Kawabata was awarded the Nobel Prize in Literature."
9673:wd-Q7762423-Q720644,wd-Q7762423-Q720644,The Scarlet Gang of Asakusa,Yasunari Kawabata,1930,Asakusa,East Asia,Japanese,,1930s,The Scarlet Gang of Asakusa  is a novel by the Japanese author Yasunari Kawabata. It was originally serialized in a newspaper before eventually being compiled into a novel in 1930.
7615:wd-Q12609070-Q28179,wd-Q12609070-Q28179,Spring of Unhyeongung,Kim Dong-in,1934,Joseon,East Asia,Korean,,1934s,
8159:wd-Q12595068-Q4941920,wd-Q12595068-Q4941920,The Buckwheat Season,Lee Hyo-seok,1936,Bongpyeong-myeon,East Asia,Korean,,1936s,"When the Buckwheat Flowers Bloom also translated as The Buckwheat Season is a 1936 short story by Korean writer Lee Hyo-seok. That story has been described as ""widely known to Koreans for its lyrical qualities"", ""outstanding"" and a ""modern classic"", and even ""the pinnacle of literary art in Korea"", and has been adopted into a movie directed by Lee Song-gu in 1967."
3890:wd-Q14981139-Q148,wd-Q14981139-Q148,Dragon Seed,Pearl S. Buck,1942,People's Republic of China,East Asia,English,,1942s,"Dragon Seed is a fictional novel which describes the lives of Chinese peasants in a village outside Nanjing, China immediately prior to and during the Japanese invasion in 1937."
8705:wd-Q3209897-Q30623,wd-Q3209897-Q30623,The Girl Who Played Go,Shan Sa,2001,Manchukuo,East Asia,French,,2001s,"The Girl Who Played Go, originally published as La Joueuse de Go, is a 2001 French novel by Shan Sa set during the Japanese occupation of Manchuria. It tells the story of a 16-year-old Chinese girl who is exceptionally good at the game of Go, and her game with a young Japanese officer. It was translated into English in 2003 and has been translated into 32 languages in total."
8386:wd-Q7729790-Q18808,wd-Q7729790-Q18808,The Descendants of Cain,Hwang Sun-won,1953,Pyongyang,East Asia,Korean,,1953s,"Hwang Sun-won is one of the most beloved and respected Korean writers of the twentieth century. This extraordinary novel is based on his own experience in his North Korean village at a historic turning point for modern Korea between the end of World War II (and with it the end of the 35-year Japanese occupation of Korea) and the eve of the Korean War just when Korea had been divided into North and South by its two ""liberators"" - the United States and the Soviet Union.

Portrayed here is an entire community caught in a political and social firestorm that scathingly reveals the selfishness, cruelty, and ignorance of simple people, but also their loyalty and nobility."
4054:wd-Q5374580-Q29520,wd-Q5374580-Q29520,Empress Orchid,Anchee Min,2004,China,East Asia,English,,2004s,"It is the final days of the Chinese empire. Trade in opium with Europe is slowly corroding the power of the Ch'ing Dynasty. Orchid, a beautiful seventeen-year-old from an aristocratic but impoverished family, is pushed into the maelstrom when she finds herself unexpectedly chosen to become a lower-ranking concubine of the Emperor. The world inside the Forbidden City is erotically charged and highly ritualised, but beneath its immaculate face lie whispers of murders and ghosts. The thousands of concubines will go to any lengths to bear the Emperor a son and become his Empress. Determined not to be a victim of the jealousies and foul play, Orchid trains herself in the art of pleasuring a man, bribes her way into the royal bed and seduces the monarch. Little does she know that China will coll"
10401:wd-Q7813427-Q26212,wd-Q7813427-Q26212,Toji,Park Kyung-ni,0,Hadong County,East Asia,Korean,,,"Toji (Korean: 토지), known in English as Land, is a 16-volume Korean novel written by Park Kyong-ni from 1969 to 1994. It tells the story of five generations of a wealthy Korean family from South Gyeongsang Province. The novel was very popular in South Korea, where it was made into a television series. Part I was translated into English by Agnita Tennant, as part of a UNESCO Collection of Representative Works project."
3946:wd-Q5329692-Q148,wd-Q5329692-Q148,East Wind: West Wind,Pearl S. Buck,1930,People's Republic of China,East Asia,English,,1930s,"Pearl S. Buck ha sabido describir en sus libros el punto justo en que se encuentran las civilizaciones oriental y occidental. Al trazarnos el retrato de una familia distinguida, nos muestra los conflictos que, de manera inevitable, surgen entre padres e hijos cuando las ideas occidentales penetran en los baluartes de la cultura china.

La joven Kwei-lan, hija de un rico patriarca chino, acaba de contraer matrimonio. Su marido, cuya exquisita educación ancestral se ha desvanecido por influencia de la cultura occidental, rechaza inicialmente a la esposa. Nuevas costumbres y usos, algunos en contradicción con aquellas convicciones en las que fue educada, deberá aceptar la esposa paulatinamente si desea conseguir el amor de su marido y comprender las díficiles situaciones familiares que prov"
4436:wd-Q6709788-Q651101,wd-Q6709788-Q651101,Frog,Mo Yan,2009,Gaomi,East Asia,Chinese,,2009s,"Frog is a novel by Mo Yan, first released in 2009. The novel is about Gugu, the aunt of ""Tadpole"", the novel's narrator. Gugu performs various abortions after the One Child Policy is introduced. The novel discusses both the reasons why the policy was implemented and its consequences."
4290:wd-Q5447865-Q148,wd-Q5447865-Q148,Fighting Angel,Pearl S. Buck,1936,People's Republic of China,East Asia,English,,1936s,"Fighting Angel: Portrait of a Soul (1936) is a memoir, sometimes called a ""creative non-fiction novel,"" written by Pearl S. Buck about her father, Absalom Sydenstricker (1852–1931) as a companion to her memoir of her mother, The Exile."
5198:wd-Q3182059-Q41602,wd-Q3182059-Q41602,Kani Kōsen,Takiji Kobayashi,1929,Sea of Okhotsk,East Asia,Japanese,,1929s,"Kani Kōsen  is a 1929 short novel by Japanese author Takiji Kobayashi which was first serialized in the May and June 1929 issues of the communist literary magazine Senki. In September of the same year, it was released as a standalone book by Senki Company. The book was banned by government censors, but not before selling 15,000 copies. The novel has been released in English as The Cannery Boat (1933), The Factory Ship (1973), and The Crab Cannery Ship (2013)."
8549:wd-Q7733223-Q13426199,wd-Q7733223-Q13426199,The Fall of the Pagoda,Eileen Chang,2010,Republic of China,East Asia,English,,2010s,"The Fall of the Pagoda is a semi-autobiographical novel written by Eileen Chang. Originally written in English in 1963, it was published posthumously by Hong Kong University Press on 15 April 2010. Zhao Pihui translated it into Chinese."
7786:wd-Q11671982-Q7677301,wd-Q11671982-Q7677301,Takasebune,Mori Ōgai,1916,Takase River,East Asia,Japanese,,1916s,"""Takasebune""  is a short story by the Japanese writer and illustrator Mori Ōgai, who is considered along with Natsume Sōseki to be one of the most important figures in modern Japanese literature. It is one of the author's best-known works. The plot concerns a boat that carried criminals from Kyoto to Osaka during the Edo period."
3353:wd-Q10860215-Q17,wd-Q10860215-Q17,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,2013,Japan,East Asia,Japanese,,2013s,"Colorless Tsukuru Tazaki and His Years of Pilgrimage  is the thirteenth novel by Japanese writer Haruki Murakami. Published on 12 April 2013 in Japan, it sold one million copies in one month."
3132:wd-Q215894-Q45,wd-Q215894-Q45,Candide,Voltaire,1759,Portugal,Europe,French,,1759s,"Candide, ou l'Optimisme is a French satire written by Voltaire, a philosopher of the Age of Enlightenment, first published in 1759. The novella has been widely translated, with English versions titled Candide: or, All for the Best (1759); Candide: or, The Optimist (1762); and Candide: Optimism (1947). A young man, Candide, lives a sheltered life in an Edenic paradise, being indoctrinated with Leibnizian optimism by his mentor, Professor Pangloss. This lifestyle is abruptly ended, followed by Candide's slow and painful disillusionment as he witnesses and experiences great hardships in the world. Voltaire concludes Candide with, if not rejecting Leibnizian optimism outright, advocating a deeply practical precept, ""we must cultivate our garden"", in lieu of the Leibnizian mantra of Pangloss, """
9697:wd-Q617379-Q84,wd-Q617379-Q84,The Secret Adversary,Agatha Christie,1922,London,Europe,English,,1922s,"Tommy Beresford and Prudence 'Tuppence' Cowley are young, in love… and flat broke. Just after Great War, there are few jobs available and the couple are desperately short of money. Restless for excitement, they decide to embark on a daring business scheme: Young Adventurers Ltd.—""willing to do anything, go anywhere."" Hiring themselves out proves to be a smart move for the couple. In their first assignment for the mysterious Mr. Whittingtont, all Tuppence has to do in their first job is take an all-expense paid trip to Paris and pose as an American named Jane Finn. But with the assignment comes a bribe to keep quiet, a threat to her life, and the disappearance of her new employer. Now their newest job are playing detective.

Where is the real Jane Finn? The mere mention of her name produc"
8949:wd-Q1539509-Q84,wd-Q1539509-Q84,The Invisible Man,H. G. Wells,1897,London,Europe,English,,1897s,"The Invisible Man is an 1897 science fiction novel by H. G. Wells. Originally serialised in Pearson's Weekly in 1897, it was published as a novel the same year. The Invisible Man to whom the title refers is Griffin, a scientist who has devoted himself to research into optics and invents a way to change a body's refractive index to that of air so that it neither absorbs nor reflects light. He carries out this procedure on himself and renders himself invisible, but fails in his attempt to reverse it. A practitioner of random and irresponsible violence, Griffin has become an iconic character in horror fiction."
3154:wd-Q1043792-Q41358,wd-Q1043792-Q41358,Carmilla,Sheridan Le Fanu,1872,Styria,Europe,English,,1872s,"Carmilla is an 1872 Gothic novella by Irish author Joseph Sheridan Le Fanu. A foundational work of English-language vampire literature, it predated Bram Stoker's Dracula (1897) by 25 years. First published as a serial in The Dark Blue from 1871–72, the novella subsequently appeared in Le Fanu’s short story collection In a Glass Darkly in 1872. Set in 19th century Styria, it is the story of a young woman who is pursued by the vampire Carmilla. Since its initial publication, Carmilla has often been regarded as one of the most influential vampire stories of all time, and popularized the lesbian vampire trope."
6311:wd-Q130851-Q38,wd-Q130851-Q38,Much Ado About Nothing,William Shakespeare,1600,Italy,Europe,English,,1600s,"Shakespeare's comedy play Much Ado About Nothing pivots around the impediments to love for young betrothed Hero and Claudio when Hero is falsely accused of infidelity and the ""lover's trap"" set for the arrogant and assured Benedick who has sworn of marriage and his gentle adversary Beatrice. The merry war between Benedick and Beatrice with the promptings of their friends soon dissolves into farcical love, while Hero's supposed infidelity is shown to be little more than ""much ado about nothing""."
